a,b,freq_a,freq_b,p_logistic,p_boosting
okaiin,ytaiin,200,34,0.4327,0.0118
qotol,shor,43,91,0.4325,0.0731
kchor,otol,20,62,0.4321,0.0115
oteedy,qokeedy,86,295,0.432,0.6472
odaiin,okain,57,132,0.4314,0.5293
qotain,qotar,60,60,0.4309,0.5714
lkeedy,lshedy,37,38,0.4306,0.3152
olkeedy,yteedy,41,25,0.4306,0.1887
dchor,oaiin,24,23,0.4302,0.1608
okchy,olchey,22,24,0.4291,0.5108
taiin,tor,44,22,0.4287,0.0748
lchey,lkeey,49,39,0.4273,0.0838
qokedy,qotedy,266,85,0.4273,0.8109
okchy,shodaiin,22,22,0.4271,0.1782
dain,odaiin,202,57,0.427,0.404
qoaiin,saiin,22,117,0.4263,0.2401
dchor,sair,24,24,0.4244,0.2216
qokor,qotol,29,43,0.4243,0.0855
sair,taiin,24,44,0.4222,0.0794
dair,odaiin,83,57,0.418,0.0529
dchedy,dchor,26,24,0.4166,0.102
lkaiin,lkain,48,34,0.4165,0.1952
okaiin,okain,200,132,0.4165,0.427
oaiin,qor,23,20,0.415,0.1578
otor,tor,32,22,0.4137,0.7817
qo,qotchy,49,59,0.4137,0.0795
okchedy,qopchedy,21,31,0.4119,0.1375
chal,chedal,44,23,0.4115,0.2373
lor,ytar,38,21,0.4112,0.0677
okaiin,olkaiin,200,28,0.4097,0.004
choky,cthor,35,41,0.4096,0.0794
okar,otain,119,92,0.4067,0.118
ckhy,dam,35,74,0.4056,0.0211
kchor,ykaiin,20,41,0.4044,0.0371
sheey,shey,139,263,0.4041,0.8467
oaiin,ytar,23,21,0.4018,0.3722
olchey,yteedy,24,25,0.4006,0.4448
tor,ytar,22,21,0.4003,0.2219
ytar,yteey,21,21,0.3993,0.364
qokal,qoky,175,137,0.398,0.3144
shar,ytar,29,21,0.3978,0.2129
kchol,kol,25,36,0.3977,0.2251
sar,sol,66,59,0.3974,0.1699
okchedy,otchedy,21,27,0.3965,0.2345
ldy,oly,21,55,0.3952,0.0993
qokeedy,ykeedy,295,27,0.3952,0.1237
qotor,ytar,25,21,0.3951,0.484
checkhy,shckhy,46,58,0.394,0.1349
kol,otol,36,62,0.3938,0.1669
aiin,ain,438,102,0.3903,0.8464
lkaiin,qokaiin,48,262,0.3902,0.0209
qokol,qokor,93,29,0.3901,0.0379
raiin,rain,60,20,0.3901,0.0908
chaiin,chodaiin,48,45,0.3895,0.1122
otol,qotor,62,25,0.3893,0.1343
olaiin,ykaiin,41,41,0.3886,0.1771
dam,sy,74,33,0.3875,0.0727
oaiin,olkaiin,23,28,0.3866,0.191
qokaiin,ykaiin,262,41,0.3845,0.1166
oteey,qoteey,97,38,0.3822,0.0636
dchedy,ykeedy,26,27,0.3813,0.5352
otain,otal,92,122,0.3801,0.1792
qokeol,qotol,50,43,0.3783,0.3421
dar,sain,277,59,0.3778,0.3736
okchy,ykchy,22,20,0.3774,0.7446
qor,sair,20,24,0.3769,0.1436
qokchy,ykchy,62,20,0.3749,0.7072
okchy,otchy,22,41,0.3745,0.1964
qotor,sair,25,24,0.3743,0.1887
dain,ykaiin,202,41,0.3741,0.0308
kaiin,lkaiin,75,48,0.3728,0.2338
oraiin,otaiin,28,137,0.3722,0.0172
okchey,qokchey,28,27,0.3698,0.0713
otain,qotain,92,60,0.3693,0.0314
okeedy,qotedy,99,85,0.3682,0.4249
okal,otar,132,122,0.3662,0.1964
oky,oly,87,55,0.3655,0.0344
shody,shy,52,92,0.3652,0.2029
qokor,qotor,29,25,0.364,0.2826
lkaiin,ytaiin,48,34,0.3634,0.0754
dair,dchor,83,24,0.3632,0.1094
otchedy,qokchedy,27,38,0.3632,0.2003
saiin,tor,117,22,0.3625,0.0148
qokchy,qotol,62,43,0.3615,0.0689
qokeedy,qokeey,295,298,0.3612,0.8567
lkedy,lshedy,26,38,0.3595,0.3875
lor,or,38,344,0.3592,0.1996
lchedy,okedy,111,104,0.3583,0.0238
kor,sair,26,24,0.3575,0.2084
okey,qokey,55,104,0.3565,0.0793
okar,qokar,119,151,0.3562,0.0099
olchey,qokchey,24,27,0.3545,0.3639
am,sy,62,33,0.3543,0.0239
sal,ytar,40,21,0.3538,0.0826
olaiin,qoaiin,41,22,0.3534,0.4661
otam,sy,42,33,0.3526,0.0367
dchor,qotol,24,43,0.3504,0.1105
daiin,dar,790,277,0.3497,0.4082
qokey,qoteedy,104,73,0.3497,0.062
oteedy,qotedy,86,85,0.3496,0.5768
shodaiin,ykaiin,22,41,0.3496,0.2646
chaiin,ytaiin,48,34,0.3493,0.0586
dor,ytar,62,21,0.3492,0.0767
olchedy,olkedy,34,24,0.349,0.4462
dor,kol,62,36,0.3486,0.0473
ykaiin,ytar,41,21,0.3483,0.0903
okchedy,olkeedy,21,41,0.3476,0.8338
lchedy,lshedy,111,38,0.3472,0.1259
dchol,qotol,21,43,0.3466,0.2908
dchor,otol,24,62,0.3447,0.0967
chaiin,odaiin,48,57,0.3445,0.1171
otol,tol,62,38,0.3424,0.8063
shckhy,sheckhy,58,33,0.3424,0.1044
otain,otar,92,122,0.3389,0.0137
sar,ykar,66,32,0.3389,0.2918
okor,qoaiin,27,22,0.3388,0.0769
qo,qokchy,49,62,0.3385,0.125
chedy,cheedy,476,57,0.3378,0.5439
dal,oky,203,87,0.3369,0.0389
qokeedy,qotedy,295,85,0.3369,0.8286
ody,sy,40,33,0.3361,0.1588
chedy,shedy,476,408,0.3355,0.7919
daly,oly,22,55,0.3344,0.0975
chcthy,chdy,73,129,0.3338,0.0361
lchedy,oteedy,111,86,0.3338,0.079
lchedy,qoteedy,111,73,0.333,0.0323
sain,ytaiin,59,34,0.3323,0.0682
qoaiin,tor,22,22,0.3321,0.1543
oteey,qokeey,97,298,0.3311,0.4102
chody,choky,87,35,0.3306,0.0732
dain,dchor,202,24,0.3305,0.0114
qokar,qol,151,139,0.3292,0.277
chodaiin,dain,45,202,0.3284,0.0774
chaiin,ody,48,40,0.3281,0.1851
ody,olchedy,40,34,0.3274,0.0491
dchor,sol,24,59,0.3245,0.0499
saiin,tar,117,40,0.3245,0.0442
otchol,sor,29,47,0.3244,0.0555
dair,ytaiin,83,34,0.3234,0.0694
kol,yty,36,20,0.323,0.0183
otchol,qokol,29,93,0.3228,0.0268
okal,otaiin,132,137,0.3226,0.1489
chear,ches,45,30,0.322,0.0426
dchol,qotor,21,25,0.3203,0.065
qokeey,ykeey,298,50,0.3196,0.1597
kol,okol,36,61,0.3193,0.3951
otor,tar,32,40,0.3186,0.1644
olaiin,oraiin,41,28,0.3181,0.0848
qor,sol,20,59,0.3181,0.1543
chdy,chody,129,87,0.3174,0.0199
oaiin,sal,23,40,0.3174,0.0264
okedy,olkedy,104,24,0.3171,0.0297
okor,otor,27,32,0.3168,0.0884
dchor,ykaiin,24,41,0.3166,0.084
olchedy,shdy,34,42,0.3166,0.0195
aiiin,aiin,44,438,0.3156,0.525
qor,sar,20,66,0.3154,0.2005
qokain,qokal,272,175,0.3152,0.3803
dol,sal,103,40,0.3149,0.1517
chodaiin,qotaiin,45,75,0.3146,0.3937
sair,sal,24,40,0.3146,0.0341
choky,cthy,35,101,0.3144,0.0093
sain,ykaiin,59,41,0.3127,0.0486
odaiin,qoaiin,57,22,0.3125,0.4209
dar,saiin,277,117,0.3123,0.2524
okaiin,oraiin,200,28,0.3109,0.0049
chdy,dy,129,236,0.3107,0.1139
dain,shodaiin,202,22,0.3106,0.0934
dchol,otol,21,62,0.3103,0.0995
dar,y,277,244,0.3101,0.3503
sho,tol,118,38,0.31,0.041
chodaiin,otaiin,45,137,0.3082,0.0521
dchor,sain,24,59,0.3077,0.0225
okeey,qokey,154,104,0.3073,0.2382
qokeol,qokol,50,93,0.3073,0.1576
qokar,qotar,151,60,0.3066,0.6269
qokaiin,qokar,262,151,0.3065,0.1645
okam,otam,26,42,0.3063,0.0132
odaiin,qokaiin,57,262,0.306,0.2425
cthy,oky,101,87,0.3055,0.0157
okain,olkain,132,34,0.3055,0.0342
olkaiin,otaiin,28,137,0.3033,0.0134
chodaiin,saiin,45,117,0.303,0.106
okchy,ytaiin,22,34,0.3019,0.0391
sar,taiin,66,44,0.3015,0.1253
qokedy,qokeey,266,298,0.3001,0.8707
qotaiin,qotain,75,60,0.2997,0.2868
okchedy,qokchedy,21,38,0.2996,0.1139
okchy,olor,22,26,0.2995,0.1432
okaiin,saiin,200,117,0.2987,0.6833
okeol,okey,57,55,0.2985,0.2204
okchedy,opchedy,21,47,0.2984,0.4872
okain,otaiin,132,137,0.298,0.2139
kchor,ykchy,20,20,0.2972,0.0578
qor,ytar,20,21,0.2962,0.2316
dchedy,dchol,26,21,0.2958,0.028
dor,oaiin,62,23,0.2956,0.049
sal,shody,40,52,0.2946,0.0343
oky,qoky,87,137,0.2939,0.0461
sheol,shey,101,263,0.2938,0.2204
okeedy,ykeedy,99,27,0.2922,0.0238
ches,chos,30,36,0.2919,0.0577
qokaiin,qokal,262,175,0.2919,0.2525
dor,sair,62,24,0.291,0.0833
dchol,yty,21,20,0.2897,0.0543
otor,ytar,32,21,0.2896,0.2263
keey,lkeey,50,39,0.289,0.2628
qokeeey,qoteey,27,38,0.2885,0.2569
kar,lkar,53,31,0.2884,0.2094
lshedy,qokchedy,38,38,0.2874,0.2105
dol,shor,103,91,0.2864,0.0607
aiiin,air,44,62,0.2835,0.0328
dchol,tol,21,38,0.2835,0.1746
kchey,qokchey,21,27,0.2832,0.1176
chcthy,checthy,73,30,0.2826,0.1329
otol,otor,62,32,0.2823,0.0741
sal,tor,40,22,0.282,0.0271
cthey,cthor,48,41,0.2805,0.0444
dain,sor,202,47,0.2803,0.0164
chcthy,cthy,73,101,0.2796,0.0163
dor,tol,62,38,0.2796,0.0599
qo,qokeeey,49,27,0.2795,0.129
oraiin,sal,28,40,0.2793,0.0284
dain,oaiin,202,23,0.2788,0.0212
qo,sal,49,40,0.2786,0.0236
qor,sain,20,59,0.2779,0.0365
dchy,qotchy,26,59,0.2768,0.1362
okeeey,qokeeey,21,27,0.2747,0.0166
okchy,qotchy,22,59,0.2746,0.3181
otchy,qokchy,41,62,0.2746,0.3418
qo,sor,49,47,0.2728,0.1365
olkeedy,shdy,41,42,0.2723,0.2081
chedaiin,ytaiin,29,34,0.2721,0.1081
saiin,shodaiin,117,22,0.2719,0.0701
dor,otor,62,32,0.2717,0.1345
cheey,sheey,168,139,0.2716,0.3822
okeedy,qokedy,99,266,0.2711,0.5573
lor,oaiin,38,23,0.269,0.0377
qotchy,shody,59,52,0.2686,0.2207
char,ches,75,30,0.2684,0.045
chodaiin,choky,45,35,0.2677,0.1823
dal,oty,203,96,0.2671,0.0048
oteedy,ykeedy,86,27,0.2663,0.0295
al,am,212,62,0.2662,0.2148
oaiin,okor,23,27,0.2657,0.0333
qo,ykeey,49,50,0.2642,0.108
okeey,olkeey,154,38,0.2637,0.0401
oaiin,otchol,23,29,0.2632,0.0387
otedy,qokeedy,133,295,0.2625,0.0552
qokeey,qoteedy,298,73,0.2625,0.741
shodaiin,yteedy,22,25,0.2625,0.1903
cthy,dal,101,203,0.2614,0.0059
okain,qokaiin,132,262,0.2612,0.6616
chdy,cheody,129,79,0.2606,0.0191
dchor,taiin,24,44,0.2604,0.0262
shody,yteedy,52,25,0.2601,0.0566
dal,qoky,203,137,0.26,0.0043
am,oldy,62,23,0.2588,0.0098
dair,qotor,83,25,0.2567,0.064
qokedy,qokey,266,104,0.2561,0.707
oaiin,qokaiin,23,262,0.2555,0.0429
qokal,qol,175,139,0.2555,0.3014
olchey,oteey,24,97,0.2553,0.0269
dol,otol,103,62,0.255,0.0646
lor,shar,38,29,0.2546,0.0236
kchol,otchol,25,29,0.2539,0.2896
oly,qokam,55,25,0.2525,0.0183
qotor,sal,25,40,0.2516,0.0352
chal,ody,44,40,0.2513,0.0659
chdy,oky,129,87,0.251,0.0146
okaiin,okal,200,132,0.251,0.0289
qokain,qol,272,139,0.2493,0.3156
dor,ykaiin,62,41,0.2488,0.072
oraiin,raiin,28,60,0.2487,0.0266
otol,qokeol,62,50,0.2485,0.1063
ody,okam,40,26,0.2478,0.0364
qotaiin,qotar,75,60,0.2476,0.0544
okchy,olchedy,22,34,0.2469,0.0263
olkaiin,ytaiin,28,34,0.2469,0.0935
qo,qotor,49,25,0.2468,0.0265
char,chear,75,45,0.2467,0.0744
dair,lor,83,38,0.2465,0.0366
dchor,sho,24,118,0.2462,0.0142
qol,qotain,139,60,0.2459,0.065
