v101_locus,zl_locus,zl_descriptor,zl_hand,zl_language,distance
f18r.8,f18r.8,+P0,1,A,0.03
f18r.9,f18r.9,+P0,1,A,0.0
f18r.10,f18r.10,+P0,1,A,0.037
f18r.11,f18r.11,+P0,1,A,0.031
f18r.12,f18r.12,+P0,1,A,0.0
f18r.13,f18r.13,+P0,1,A,0.0
f18r.14,f18r.14,+Pc,1,A,0.059
f18v.1,f18v.1,@P0,1,A,0.05
f18v.2,f18v.2,+P0,1,A,0.125
f18v.3,f18v.3,+P0,1,A,0.0
f18v.4,f18v.4,+P0,1,A,0.0
f18v.5,f18v.5,+P0,1,A,0.0
f18v.6,f18v.6,+P0,1,A,0.0
f18v.7,f18v.7,+P0,1,A,0.025
f18v.8,f18v.8,+P0,1,A,0.0
f18v.9,f18v.9,+P0,1,A,0.0
f18v.10,f18v.10,+P0,1,A,0.0
f19r.1,f19r.1,@P0,1,A,0.0
f19r.2,f19r.2,+P0,1,A,0.164
f19r.3,f19r.3,+P0,1,A,0.032
f19r.4,f19r.4,+P0,1,A,0.0
f19r.5,f19r.5,+P0,1,A,0.185
f19r.6,f19r.6,+P0,1,A,0.0
f19r.7,f19r.7,+P0,1,A,0.065
f19r.8,f19r.8,+P0,1,A,0.0
f19r.9,f19r.9,+P0,1,A,0.029
f19r.10,f19r.10,+P0,1,A,0.0
f19r.11,f19r.11,+P0,1,A,0.037
f19r.12,f19r.12,+P0,1,A,0.0
f19r.13,f19r.13,+P0,1,A,0.062
f19v.1,f19v.1,@P0,1,A,0.0
f19v.2,f19v.2,+P0,1,A,0.0
f19v.3,f19v.3,+P0,1,A,0.059
f19v.4,f19v.4,+P0,1,A,0.0
f19v.5,f19v.5,+P0,1,A,0.071
f19v.6,f19v.6,+P0,1,A,0.0
f19v.7,f19v.7,+P0,1,A,0.0
f19v.8,f19v.8,+P0,1,A,0.0
f19v.9,f19v.9,+P0,1,A,0.061
f19v.10,f19v.10,+P0,1,A,0.032
f19v.11,f19v.11,+P0,1,A,0.0
f19v.12,f19v.12,+P0,1,A,0.029
f19v.13,f19v.13,+P0,1,A,0.0
f19v.14,f19v.14,+Pr,1,A,0.05
f20r.1,f20r.1,@P0,1,A,0.021
f20r.2,f20r.2,+P0,1,A,0.02
f20r.3,f20r.3,+P0,1,A,0.0
f20r.4,f20r.4,+P0,1,A,0.0
f20r.5,f20r.5,+P0,1,A,0.098
f20r.6,f20r.6,+P0,1,A,0.0
f20r.7,f20r.7,+P0,1,A,0.0
f20r.8,f20r.8,+P0,1,A,0.0
f20r.9,f20r.9,+P0,1,A,0.021
f20r.10,f20r.10,+P0,1,A,0.0
f20r.11,f20r.11,+P0,1,A,0.042
f20r.12,f20r.12,+P0,1,A,0.0
f20r.13,f20r.13,+P0,1,A,0.0
f20v.1,f20v.1,@P0,1,A,0.073
f20v.2,f20v.2,+P0,1,A,0.0
f20v.3,f20v.3,+P0,1,A,0.02
f20v.4,f20v.4,+P0,1,A,0.0
f20v.5,f20v.5,+P0,1,A,0.019
f20v.6,f20v.6,+P0,1,A,0.137
f20v.7,f20v.7,+P0,1,A,0.024
f20v.8,f20v.8,+P0,1,A,0.029
f20v.9,f20v.9,+P0,1,A,0.146
f20v.10,f20v.10,+P0,1,A,0.0
f20v.11,f20v.11,+P0,1,A,0.185
f21r.1,f21r.1,@P0,1,A,0.0
